Essential,Unit,English,Uzbek
Essential 1,Unit 5,hurt,jarohat olmoq
Essential 1,Unit 5,judgment,hukm baho
Essential 1,Unit 5,likely,ehtimol
Essential 1,Unit 5,normal,oddiy
Essential 1,Unit 5,rare,noyob
Essential 1,Unit 5,relax,rohatlanmoq
Essential 1,Unit 5,request,so'ramoq
Essential 1,Unit 5,reside,yashamoq
Essential 1,Unit 5,result,natija
Essential 1,Unit 5,roll,dumalamoq
Essential 1,Unit 5,since,chunki
Essential 1,Unit 5,visible,ko'rinadigan
Essential 1,Unit 5,wild,yovvoyi
Essential 1,Unit 6,advantage,afzallik
Essential 1,Unit 6,cause,sababi
Essential 1,Unit 6,choice,tanlov
Essential 1,Unit 6,community,jamoa
Essential 1,Unit 6,dead,o'lik
Essential 1,Unit 6,distance,masofa
Essential 1,Unit 6,escape,qochmoq
Essential 1,Unit 6,face,yuz
Essential 1,Unit 6,follow,"amal qilmoq, ortidan bormoq"
Essential 1,Unit 6,fright,qo'rquv
Essential 1,Unit 6,ghost,arvoh
Essential 1,Unit 6,individual,shaxs
Essential 1,Unit 6,pet,uy hayvoni
Essential 1,Unit 6,reach,"erishmoq, yetib bormoq"
Essential 1,Unit 6,return,qaytmoq
Essential 1,Unit 6,survive,omon qolmoq
Essential 1,Unit 6,upset,xafa
Essential 1,Unit 6,voice,ovoz
Essential 1,Unit 6,weather,ob-havo
Essential 1,Unit 6,wise,dono
Essential 1,Unit 7,allow,ruxsat bermoq
Essential 1,Unit 7,announce,e'lon qilmoq
Essential 1,Unit 7,beside,yonida
Essential 1,Unit 7,challenge,qiyinchilik
Essential 1,Unit 7,claim,takidlamoq
Essential 1,Unit 7,condition,holat
Essential 1,Unit 7,contribute,hissa qo'shmoq
Essential 1,Unit 7,difference,farq
Essential 1,Unit 7,divide,bo'lmoq
Essential 1,Unit 7,expert,mutaxassis
Essential 1,Unit 7,famous,mashhur
Essential 1,Unit 7,force,kuch
Essential 1,Unit 7,harm,zarar
Essential 1,Unit 7,lay,yotadi
Essential 1,Unit 7,peace,tinchlik
Essential 1,Unit 7,prince,shahzoda
Essential 1,Unit 7,protect,himoya qilmoq
Essential 1,Unit 7,sense,ma'no
Essential 1,Unit 7,sudden,to'satdan
Essential 1,Unit 7,therefore,shuning uchun
Essential 1,Unit 8,accept,qabul qilmoq
Essential 1,Unit 8,arrange,tartibga solmoq
Essential 1,Unit 8,attend,qatnashmoq
Essential 1,Unit 8,balance,muvozanat
Essential 1,Unit 8,contrast,farq
Essential 1,Unit 8,encourage,rag'batlantirmoq
Essential 1,Unit 8,familiar,tanish
Essential 1,Unit 8,grab,changallamoq
Essential 1,Unit 8,hang,osib qo'ymoq
Essential 1,Unit 8,huge,katta
Essential 1,Unit 8,necessary,zarur
Essential 1,Unit 8,pattern,"naqsh, tartib"
Essential 1,Unit 8,propose,taklif qilmoq
Essential 1,Unit 8,purpose,maqsad
Essential 1,Unit 8,release,ozod qilmoq
Essential 1,Unit 8,require,talab qilmoq
Essential 1,Unit 8,single,yakka
Essential 1,Unit 8,success,muvaffaqiyat
Essential 1,Unit 8,tear,"ko'z yoshi, yirtmoq"
Essential 1,Unit 8,theory,nazariya
Essential 1,Unit 9,against,qarshi
Essential 1,Unit 9,beach,sohil
Essential 1,Unit 9,damage,zarar
Essential 1,Unit 9,discover,kashf qilmoq
Essential 1,Unit 9,emotion,hissiyot
Essential 1,Unit 9,fix,tuzatmoq
Essential 1,Unit 9,frank,samimiy
Essential 1,Unit 9,identify,aniqlash
Essential 1,Unit 9,island,orol
Essential 1,Unit 9,ocean,okean
Essential 1,Unit 9,perhaps,ehtimol
Essential 1,Unit 9,pleasant,yoqimli
Essential 1,Unit 9,prevent,oldini olmoq
Essential 1,Unit 9,rock,tosh
Essential 1,Unit 9,save,asramoq
Essential 1,Unit 9,step,qadam
Essential 1,Unit 9,still,hali ham
Essential 1,Unit 9,taste,"ta'm, tatib ko'rmoq"
Essential 1,Unit 9,throw,otmoq
Essential 1,Unit 9,wave,to'lqin
Essential 1,Unit 10,benefit,foyda
Essential 1,Unit 10,certain,aniq
Essential 1,Unit 10,chance,imkoniyat
Essential 1,Unit 10,effect,ta'sir
Essential 1,Unit 10,essential,muhim
Essential 1,Unit 10,far,uzoq
Essential 1,Unit 10,focus,diqqat markazi
Essential 1,Unit 10,function,vazifa
Essential 1,Unit 10,grass,o't
Essential 1,Unit 10,guard,qo'riqchi
Essential 1,Unit 10,image,rasm
Essential 1,Unit 10,immediate,darhol
Essential 1,Unit 10,primary,asosiy
Essential 1,Unit 10,proud,mag'rur
Essential 1,Unit 10,remain,qolmoq
Essential 1,Unit 10,rest,"dam olmoq,"
Essential 1,Unit 10,separate,alohida
Essential 1,Unit 10,site,joy
Essential 1,Unit 10,tail,dum
Essential 1,Unit 10,trouble,muammo
Essential 1,Unit 11,anymore,endi qaytib
Essential 1,Unit 11,asleep,uyquda
Essential 1,Unit 11,berry,maymunjon
Essential 1,Unit 11,collect,to'plamoq
Essential 1,Unit 11,compete,raqobatlashmoq
Essential 1,Unit 11,conversation,suhbat
Essential 1,Unit 11,creature,jonzot
Essential 1,Unit 11,decision,qaror
Essential 1,Unit 11,either,yoki
Essential 1,Unit 11,forest,o'rmon
Essential 1,Unit 11,ground,yer
Essential 1,Unit 11,introduce,tanishtirmoq
Essential 1,Unit 11,marry,turmush qurmoq
Essential 1,Unit 11,prepare,tayyorlamoq
Essential 1,Unit 11,sail,suzmoq
Essential 1,Unit 11,serious,jiddiy
Essential 1,Unit 11,spend,sarflamoq
Essential 1,Unit 11,strange,g'alati
Essential 1,Unit 11,truth,haqiqat
Essential 1,Unit 11,wake,uyg'otmoq
Essential 1,Unit 12,alone,yolg'iz
Essential 1,Unit 12,apartment,xonadon
Essential 1,Unit 12,article,maqola
Essential 1,Unit 12,artist,rassom
Essential 1,Unit 12,attitude,munosabat
Essential 1,Unit 12,compare,solishtirmoq
Essential 1,Unit 12,judge,hukm qilmoq
Essential 1,Unit 12,magazine,jurnal
Essential 1,Unit 12,material,ashyo
Essential 1,Unit 12,meal,ovqat
Essential 1,Unit 12,method,uslub
Essential 1,Unit 12,neighbor,qo'shni
Essential 1,Unit 12,professional,professional
Essential 1,Unit 12,profit,foyda
Essential 1,Unit 12,quality,sifat
Essential 1,Unit 12,shape,shakl
Essential 1,Unit 12,space,bo'shliq
Essential 1,Unit 12,stair,zina
Essential 1,Unit 12,symbol,belgi
Essential 1,Unit 12,thin,oriq
Essential 1,Unit 13,blood,qon
Essential 1,Unit 13,burn,kuymoq
Essential 1,Unit 13,cell,"hujayra, panjara"
Essential 1,Unit 13,contain,o'z ichiga olmoq
Essential 1,Unit 13,correct,to'g'ri
Essential 1,Unit 13,crop,ekin
Essential 1,Unit 13,demand,talab
Essential 1,Unit 13,equal,teng
Essential 1,Unit 13,feed,boqmoq
Essential 1,Unit 13,hole,teshik
Essential 1,Unit 13,increase,o'smoq
Essential 1,Unit 13,lord,lord
Essential 1,Unit 13,owe,qarzdor
Essential 1,Unit 13,position,orin
Essential 1,Unit 13,raise,oshirmoq
Essential 1,Unit 13,responsible,mas'ul
Essential 1,Unit 13,sight,ko'rish
Essential 1,Unit 13,spot,dog` joy
Essential 1,Unit 13,structure,tuzilish
Essential 1,Unit 13,whole,butun
Essential 1,Unit 14,coach,murabbiy
Essential 1,Unit 14,control,boshqaruv
Essential 1,Unit 14,description,tushuntirish
Essential 1,Unit 14,direct,to'g'ridan-to'g'ri
Essential 1,Unit 14,exam,imtihon
Essential 1,Unit 14,example,misol
Essential 1,Unit 14,limit,chegara
Essential 1,Unit 14,local,mahalliy
Essential 1,Unit 14,magical,sehrli
Essential 1,Unit 14,mail,pochta
Essential 1,Unit 14,novel,roman
Essential 1,Unit 14,outline,reja
Essential 1,Unit 14,poet,shoir
Essential 1,Unit 14,print,bosib chiqarmoq
Essential 1,Unit 14,scene,sahna
Essential 1,Unit 14,sheet,varoq
Essential 1,Unit 14,silly,ahmoqona
Essential 1,Unit 14,store,do'kon saqlamoq
Essential 1,Unit 14,suffer,azoblanmoq
Essential 1,Unit 14,technology,texnologiya
Essential 1,Unit 15,across,kesib
Essential 1,Unit 15,breathe,nafas olmoq
Essential 1,Unit 15,characteristic,xususiyat
Essential 1,Unit 15,consume,iste'mol qilmoq
Essential 1,Unit 15,excite,hayratlanmoq
Essential 1,Unit 15,extreme,haddan tashqari
Essential 1,Unit 15,fear,qo'rquv
Essential 1,Unit 15,fortunate,baxtli
Essential 1,Unit 15,happen,sodir bo'lmoq
Essential 1,Unit 15,length,uzunlik
Essential 1,Unit 15,mistake,xato
Essential 1,Unit 15,observe,kuzatmoq
Essential 1,Unit 15,opportunity,imkoniyat
Essential 1,Unit 15,prize,sovrin
Essential 1,Unit 15,race,irq
Essential 1,Unit 15,realize,tushunmoq
Essential 1,Unit 15,respond,javob bermoq
Essential 1,Unit 15,risk,xavf
Essential 1,Unit 15,wonder,hayron bo`lmoq
Essential 1,Unit 15,yet,hali
Essential 1,Unit 16,academy,akademiya
Essential 1,Unit 16,ancient,qadimiy
Essential 1,Unit 16,board,taxta
Essential 1,Unit 16,century,asr
Essential 1,Unit 16,clue,qo`shimcha ma`lumot
Essential 1,Unit 16,concert,kontsert
Essential 1,Unit 16,county,graflik
Essential 1,Unit 16,dictionary,lug'at
Essential 1,Unit 16,exist,mavjud
Essential 1,Unit 16,flat,tekis
Essential 1,Unit 16,gentleman,jentleman
Essential 1,Unit 16,hidden,maxfiy
Essential 1,Unit 16,maybe,balki
Essential 1,Unit 16,officer,ofitser
Essential 1,Unit 16,original,original
Essential 1,Unit 16,pound,funt qoqmoq
Essential 1,Unit 16,process,jarayon
Essential 1,Unit 16,publish,nashr etmoq
Essential 1,Unit 16,theater,teatr
Essential 1,Unit 16,wealth,boylik
Essential 1,Unit 17,appreciate,qadrlamoq
Essential 1,Unit 17,available,mavjud
Essential 1,Unit 17,beat,urmoq
Essential 1,Unit 17,bright,yorqin
Essential 1,Unit 17,celebrate,nishonlamoq
Essential 1,Unit 17,determine,aniqlamoq
Essential 1,Unit 17,disappear,yo'qolmoq
Essential 1,Unit 17,else,yana boshqa
Essential 1,Unit 17,fair,adolatli
Essential 1,Unit 17,flow,oqim
Essential 1,Unit 17,forward,oldinga
Essential 1,Unit 17,hill,tepalik
Essential 1,Unit 17,level,daraja
Essential 1,Unit 17,lone,yolg'iz
Essential 1,Unit 17,puddle,ko'lmak
Essential 1,Unit 17,response,javob
Essential 1,Unit 17,season,mavsum
Essential 1,Unit 17,solution,yechim
Essential 1,Unit 17,waste,chiqindi
Essential 1,Unit 17,whether,mi yoki
Essential 1,Unit 18,argue,bahslashmoq
Essential 1,Unit 18,communicate,muloqot qilmoq
Essential 1,Unit 18,crowd,olomon
Essential 1,Unit 18,depend,qaram bo`lmoq
Essential 1,Unit 18,dish,ovqat
Essential 1,Unit 18,empty,bo'sh
Essential 1,Unit 18,exact,aniq
Essential 1,Unit 18,fresh,yangi
Essential 1,Unit 18,gather,to'plamoq
Essential 1,Unit 18,indicate,ko`rsatmoq
Essential 1,Unit 18,item,buyum
Essential 1,Unit 18,offer,taklif qilmoq
Essential 1,Unit 18,price,narx
Essential 1,Unit 18,product,mahsulot
Essential 1,Unit 18,property,mulk
Essential 1,Unit 18,purchase,sotib olmoq
Essential 1,Unit 18,recommend,tavsiya qilmoq
Essential 1,Unit 18,select,tanlamoq
Essential 1,Unit 18,tool,asbob
Essential 1,Unit 18,treat,"davolamoq, munosabatda bo'lmoq"
Essential 1,Unit 19,alive,tirik
Essential 1,Unit 19,bone,suyak
Essential 1,Unit 19,bother,bezovta qilmoq
Essential 1,Unit 19,captain,kapitan
Essential 1,Unit 19,conclusion,xulosa
Essential 1,Unit 19,doubt,shubha
Essential 1,Unit 19,explore,kashf qilmoq
Essential 1,Unit 19,foreign,xorijiy
Essential 1,Unit 19,glad,mamnun
Essential 1,Unit 19,however,biroq
Essential 1,Unit 19,injustice,adolatsizlik
Essential 1,Unit 19,international,xalqaro
Essential 1,Unit 19,lawyer,yurist
Essential 1,Unit 19,mention,eslatmoq
Essential 1,Unit 19,policy,siyosat
Essential 1,Unit 19,social,ijtimoiy
Essential 1,Unit 19,speech,nutq
Essential 1,Unit 19,staff,xodimlar
Essential 1,Unit 19,toward,tomonga
Essential 1,Unit 19,wood,yog'och
Essential 1,Unit 20,achieve,erishmoq
Essential 1,Unit 20,advise,maslahat bermoq
Essential 1,Unit 20,already,allaqachon
Essential 1,Unit 20,basic,asosiy
Essential 1,Unit 20,bit,bo'lak
Essential 1,Unit 20,consider,o'ylab ko'rmoq
Essential 1,Unit 20,destroy,yo'q qilmoq
Essential 1,Unit 20,entertain,ko'nglini ko'tarmoq
Essential 1,Unit 20,extra,qo'shimcha
Essential 1,Unit 20,goal,maqsad
Essential 1,Unit 20,lie,yolg'on gapirmoq
Essential 1,Unit 20,meat,go'sht
Essential 1,Unit 20,opinion,fikr
Essential 1,Unit 20,real,haqiqiy
Essential 1,Unit 20,reflect,aks ettirmoq
Essential 1,Unit 20,regard,deb bilmoq
Essential 1,Unit 20,serve,xizmat qilmoq
Essential 1,Unit 20,vegetable,sabzavot
Essential 1,Unit 20,war,urush
Essential 1,Unit 20,worth,qiymat
Essential 1,Unit 21,appear,paydo bo'lmoq
Essential 1,Unit 21,base,tayanch
Essential 1,Unit 21,brain,miya
Essential 1,Unit 21,career,martaba
Essential 1,Unit 21,clerk,xizmatchi
Essential 1,Unit 21,effort,harakat
Essential 1,Unit 21,enter,kirmoq
Essential 1,Unit 21,excellent,ajoyib
Essential 1,Unit 21,hero,qahramon
Essential 1,Unit 21,hurry,shoshilmoq
Essential 1,Unit 21,inform,axborot bermoq
Essential 1,Unit 21,later,keyinchalik
Essential 1,Unit 21,leave,tashlab ketmoq
Essential 1,Unit 21,locate,topmoq
Essential 1,Unit 21,nurse,hamshira
Essential 1,Unit 21,operation,operatsiya
Essential 1,Unit 21,pain,og'riq
Essential 1,Unit 21,refuse,rad qilmoq
Essential 1,Unit 21,though,garchi
Essential 1,Unit 21,various,turli
Essential 1,Unit 22,actual,dolzarb haqiqiy
Essential 1,Unit 22,amaze,hayratlantirmoq
Essential 1,Unit 22,charge,zaryadlash
Essential 1,Unit 22,comfort,farovonlik
Essential 1,Unit 22,contact,aloqa qilmoq
Essential 1,Unit 22,customer,mijoz
Essential 1,Unit 22,deliver,yetkazib bermoq
Essential 1,Unit 22,earn,ishlab topmoq
Essential 1,Unit 22,gate,darvoza
Essential 1,Unit 22,include,qo'shib qo'ymoq
Essential 1,Unit 22,manage,boshqarmoq
Essential 1,Unit 22,mystery,sinoat
Essential 1,Unit 22,occur,uchramoq
Essential 1,Unit 22,opposite,aks qarama-qarshi
Essential 1,Unit 22,plate,likop
Essential 1,Unit 22,receive,qabul qilmoq
Essential 1,Unit 22,reward,sovrin
Essential 1,Unit 22,set,qo'ymoq o'rnatmoq
Essential 1,Unit 22,steal,o'g'irlamoq
Essential 1,Unit 22,thief,o'g'ri
Essential 1,Unit 23,advance,odimlamoq
Essential 1,Unit 23,athlete,sportchi
Essential 1,Unit 23,average,o'rtacha
Essential 1,Unit 23,behavior,hatti-harakat
Essential 1,Unit 23,behind,orqasida
Essential 1,Unit 23,course,yo'nalish kurs
Essential 1,Unit 23,lower,pasaytirmoq
Essential 1,Unit 23,match,o'yin
Essential 1,Unit 23,member,a'zo
Essential 1,Unit 23,mental,aqliy
Essential 1,Unit 23,passenger,yo'lovchi
Essential 1,Unit 23,personality,shaxsiyat
Essential 1,Unit 23,poem,she'r
Essential 1,Unit 23,pole,"qutb, asos"
Essential 1,Unit 23,remove,olib tashlash
Essential 1,Unit 23,safety,xavfsizlik
Essential 1,Unit 23,shoot,otmoq
Essential 1,Unit 23,sound,ovoz
Essential 1,Unit 23,swim,suzmoq
Essential 1,Unit 23,web,o'rgimchak to'ri
Essential 1,Unit 24,block,bo'lak
Essential 1,Unit 24,cheer,hayqiriq
Essential 1,Unit 24,complex,murakkab
Essential 1,Unit 24,critic,tanqidchi
Essential 1,Unit 24,event,voqea
Essential 1,Unit 24,exercise,mashq qilmoq
Essential 1,Unit 24,fit,mos kelmoq
Essential 1,Unit 24,friendship,do'stlik
Essential 1,Unit 24,guide,yo'l ko'rsatuvchi
Essential 1,Unit 24,lack,kamchilik
Essential 1,Unit 24,passage,yo'lak
Essential 1,Unit 24,perform,ijro etmoq
Essential 1,Unit 24,pressure,bosim
Essential 1,Unit 24,probable,ehtimol
Essential 1,Unit 24,public,jamoat
Essential 1,Unit 24,strike,urmoq
Essential 1,Unit 24,support,qo'llab-quvvatlamoq
Essential 1,Unit 24,task,vazifa
Essential 1,Unit 24,term,muddat
Essential 1,Unit 24,unite,birlashtirmoq
Essential 1,Unit 25,associate,bog'lamoq
Essential 1,Unit 25,environment,atrof-muhit
Essential 1,Unit 25,factory,zavod
Essential 1,Unit 25,feature,xususiyat
Essential 1,Unit 25,instance,misol
Essential 1,Unit 25,involve,mashg'ul bo'lmoq
Essential 1,Unit 25,medicine,dori
Essential 1,Unit 25,mix,aralashtirmoq
Essential 1,Unit 25,organize,tashkillashtirmoq
Essential 1,Unit 25,period,davr
Essential 1,Unit 25,populate,yashamoq
Essential 1,Unit 25,produce,ishlab chiqarmoq
Essential 1,Unit 25,range,bir qator tur
Essential 1,Unit 25,recognize,tanimoq
Essential 1,Unit 25,regular,muntazam
Essential 1,Unit 25,sign,belgi
Essential 1,Unit 25,tip,uch
Essential 1,Unit 25,tradition,an'ana
Essential 1,Unit 25,trash,axlat
Essential 1,Unit 25,wide,keng
Essential 1,Unit 26,advice,maslahat
Essential 1,Unit 26,along,davomida
Essential 1,Unit 26,attention,diqqat
Essential 1,Unit 26,attract,jalb qilmoq
Essential 1,Unit 26,climb,ko'tarilmoq
Essential 1,Unit 26,drop,tomchi
Essential 1,Unit 26,final,oxirgi
Essential 1,Unit 26,further,uzoqroq
Essential 1,Unit 26,imply,shama qilmoq
Essential 1,Unit 26,maintain,saqlamoq
Essential 1,Unit 26,neither,na
Essential 1,Unit 26,otherwise,aks holda
Essential 1,Unit 26,physical,jismoniy
Essential 1,Unit 26,prove,isbotlamoq
Essential 1,Unit 26,react,javob bermoq
Essential 1,Unit 26,ride,uchmoq
Essential 1,Unit 26,situated,joylashgan
Essential 1,Unit 26,society,jamiyat
Essential 1,Unit 26,standard,standart
Essential 1,Unit 26,suggest,taklif qilmoq
Essential 1,Unit 27,actually,aslida
Essential 1,Unit 27,bite,"luqma, tishlamoq"
Essential 1,Unit 27,coast,qirg'oq
Essential 1,Unit 27,deal,kelishuv
Essential 1,Unit 27,desert,cho'l
Essential 1,Unit 27,earthquake,zilzila
Essential 1,Unit 27,effective,samarali
Essential 1,Unit 27,examine,o'rganmoq
Essential 1,Unit 27,false,noto'g'ri
Essential 1,Unit 27,gift,sovg'a
Essential 1,Unit 27,hunger,ochlik
Essential 1,Unit 27,imagine,tasavvur qilmoq
Essential 1,Unit 27,journey,sayohat
Essential 1,Unit 27,puzzle,jumboq
Essential 1,Unit 27,quite,biroz ancha
Essential 1,Unit 27,rather,maqul ko'rmoq
Essential 1,Unit 27,specific,o'ziga xos
Essential 1,Unit 27,tour,sayohat
Essential 1,Unit 27,trip,safar
Essential 1,Unit 27,value,qiymat
Essential 1,Unit 28,band,musiqiy guruh
Essential 1,Unit 28,barely,zo'rg'a
Essential 1,Unit 28,boring,zerikarli
Essential 1,Unit 28,cancel,bekor qilmoq
Essential 1,Unit 28,driveway,yo'lak
Essential 1,Unit 28,garbage,axlat
Essential 1,Unit 28,instrument,asbob
Essential 1,Unit 28,list,ro'yxat
Essential 1,Unit 28,magic,sehrli
Essential 1,Unit 28,message,xabar
Essential 1,Unit 28,notice,payqamoq
Essential 1,Unit 28,own,ega bo'lmoq
Essential 1,Unit 28,predict,taxmin qilmoq
Essential 1,Unit 28,professor,professor
Essential 1,Unit 28,rush,shoshilmoq
Essential 1,Unit 28,schedule,jadval
Essential 1,Unit 28,share,ulashmoq
Essential 1,Unit 28,stage,bosqich
Essential 1,Unit 28,storm,bo'ron
Essential 1,Unit 28,within,ichida
Essential 1,Unit 29,advertise,reklama qilmoq
Essential 1,Unit 29,assign,tayinlamoq
Essential 1,Unit 29,audience,tomoshabin
Essential 1,Unit 29,breakfast,nonushta
Essential 1,Unit 29,competition,musobaqa
Essential 1,Unit 29,cool,"salqin, ajoyib"
Essential 1,Unit 29,gain,"erishmoq, ega bo'lmoq"
Essential 1,Unit 29,importance,ahamiyat
Essential 1,Unit 29,knowledge,bilim
Essential 1,Unit 29,major,katta
Essential 1,Unit 29,mean,anglatmoq
Essential 1,Unit 29,prefer,afzal ko'rmoq
Essential 1,Unit 29,president,prezident
Essential 1,Unit 29,progress,taraqqiyot
Essential 1,Unit 29,respect,hurmat
Essential 1,Unit 29,rich,boy
Essential 1,Unit 29,skill,qobiliyat
Essential 1,Unit 29,somehow,qandaydir yo'l bilan
Essential 1,Unit 29,strength,kuch-quvvat
Essential 1,Unit 29,vote,ovoz bermoq
Essential 1,Unit 30,above,yuqorida
Essential 1,Unit 30,ahead,oldinga
Essential 1,Unit 30,amount,miqdor
Essential 1,Unit 30,belief,e'tiqod
Essential 1,Unit 30,center,markaz
Essential 1,Unit 30,common,umumiy
Essential 1,Unit 30,cost,xarajat
Essential 1,Unit 30,demonstrate,namoyish qilmoq
Essential 1,Unit 30,different,turli
Essential 1,Unit 30,evidence,dalillar
Essential 1,Unit 30,honesty,halollik
Essential 1,Unit 30,idiom,ibora
Essential 1,Unit 30,independent,mustaqil
Essential 1,Unit 30,inside,ichida
Essential 1,Unit 30,master,usta
Essential 1,Unit 30,memory,xotira
Essential 1,Unit 30,proper,to'g'ri
Essential 1,Unit 30,scan,ko'rmoq
Essential 1,Unit 30,section,bo'lim
Essential 1,Unit 30,surface,sirt
Essential 2,Unit 1,anxious,tashvishli
Essential 2,Unit 1,awful,dahshatli
Essential 2,Unit 1,consist,tashkil topmoq
Essential 2,Unit 1,desire,xohish
Essential 2,Unit 1,eager,ishtiyoqmand
Essential 2,Unit 1,household,uy-joy
Essential 2,Unit 1,intent,niyat
Essential 2,Unit 1,landscape,manzara
Essential 2,Unit 1,lift,ko'tarmoq
Essential 2,Unit 1,load,yuk
Essential 2,Unit 1,lung,o'pka
Essential 2,Unit 1,motion,harakat
Essential 2,Unit 1,pace,tezligi
Essential 2,Unit 1,polite,muloyim
Essential 2,Unit 1,possess,ega bo'lmoq
Essential 2,Unit 1,rapidly,tezda
Essential 2,Unit 1,remark,eslatma
Essential 2,Unit 1,seek,izlash
Essential 2,Unit 1,shine,porlash
Essential 2,Unit 1,spill,to'kmoq
Essential 2,Unit 2,bring,olib kelmoq
Essential 2,Unit 2,castle,qal'a
Essential 2,Unit 2,command,buyruq bermoq
Essential 2,Unit 2,counsel,maslahat bermoq
Essential 2,Unit 2,ensure,ishonch xosil qilmoq
Essential 2,Unit 2,explosion,portlash
Essential 2,Unit 2,jewelry,zargarlik buyumlari
Essential 2,Unit 2,land,yer
Essential 2,Unit 2,meteor,meteor
Essential 2,Unit 2,monster,mahluq
Essential 2,Unit 2,northern,shimoliy
Essential 2,Unit 2,remote,uzoq
Essential 2,Unit 2,southern,janubiy
Essential 2,Unit 2,statue,haykal
Essential 2,Unit 2,steam,bug '
Essential 2,Unit 2,submit,"taqdim etmoq, amal qilmoq"
Essential 2,Unit 2,temple,ibodatxona
Essential 2,Unit 2,upper,yuqori
Essential 2,Unit 2,weed,o't
Essential 2,Unit 2,wing,qanot
Essential 2,Unit 3,arrow,o'q
Essential 2,Unit 3,battle,jang
Essential 2,Unit 3,bow,kamon
Essential 2,Unit 3,brave,jasur
Essential 2,Unit 3,chief,boshliq
Essential 2,Unit 3,disadvantage,zararli tomoni
Essential 2,Unit 3,enemy,dushman
Essential 2,Unit 3,entrance,kirish
Essential 2,Unit 3,hardly,kamdan-kam
